I, [2016-07-16T12:40:40.267297 #14965]  INFO -- Kitchen: -----> Starting Kitchen (v1.10.0)
E, [2016-07-16T12:40:40.267682 #14965] ERROR -- Kitchen: ------Exception-------
E, [2016-07-16T12:40:40.267737 #14965] ERROR -- Kitchen: Class: Kitchen::UserError
E, [2016-07-16T12:40:40.267762 #14965] ERROR -- Kitchen: Message: Kitchen YAML file /Users/koi/workspace/project/fsoft/espirit/src/advanced/.kitchen.yml does not exist.
E, [2016-07-16T12:40:40.267834 #14965] ERROR -- Kitchen: ----------------------
E, [2016-07-16T12:40:40.267854 #14965] ERROR -- Kitchen: ------Backtrace-------
E, [2016-07-16T12:40:40.267869 #14965] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.10.0/lib/kitchen/loader/yaml.rb:74:in `read'
E, [2016-07-16T12:40:40.267884 #14965] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.10.0/lib/kitchen/config.rb:154:in `data'
E, [2016-07-16T12:40:40.267898 #14965] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.10.0/lib/kitchen/config.rb:133:in `suites'
E, [2016-07-16T12:40:40.267912 #14965] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.10.0/lib/kitchen/config.rb:184:in `filter_instances'
E, [2016-07-16T12:40:40.267926 #14965] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.10.0/lib/kitchen/config.rb:143:in `build_instances'
E, [2016-07-16T12:40:40.267939 #14965] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.10.0/lib/kitchen/config.rb:119:in `instances'
E, [2016-07-16T12:40:40.267953 #14965] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.10.0/lib/kitchen/command.rb:115:in `filtered_instances'
E, [2016-07-16T12:40:40.267996 #14965] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.10.0/lib/kitchen/command.rb:145:in `parse_subcommand'
E, [2016-07-16T12:40:40.268010 #14965] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.10.0/lib/kitchen/command/action.rb:38:in `block in call'
E, [2016-07-16T12:40:40.268024 #14965] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/2.1.0/benchmark.rb:279:in `measure'
E, [2016-07-16T12:40:40.268037 #14965] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.10.0/lib/kitchen/command/action.rb:37:in `call'
E, [2016-07-16T12:40:40.268050 #14965] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.10.0/lib/kitchen/cli.rb:56:in `perform'
E, [2016-07-16T12:40:40.268064 #14965] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.10.0/lib/kitchen/cli.rb:184:in `block (2 levels) in <class:CLI>'
E, [2016-07-16T12:40:40.268077 #14965] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/thor-0.19.1/lib/thor/command.rb:27:in `run'
E, [2016-07-16T12:40:40.268091 #14965] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/thor-0.19.1/lib/thor/invocation.rb:126:in `invoke_command'
E, [2016-07-16T12:40:40.268104 #14965] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.10.0/lib/kitchen/cli.rb:325:in `invoke_task'
E, [2016-07-16T12:40:40.268117 #14965] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/thor-0.19.1/lib/thor.rb:359:in `dispatch'
E, [2016-07-16T12:40:40.268130 #14965] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/thor-0.19.1/lib/thor/base.rb:440:in `start'
E, [2016-07-16T12:40:40.268143 #14965] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.10.0/bin/kitchen:13:in `block in <top (required)>'
E, [2016-07-16T12:40:40.268156 #14965] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.10.0/lib/kitchen/errors.rb:174:in `with_friendly_errors'
E, [2016-07-16T12:40:40.268169 #14965] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.10.0/bin/kitchen:13:in `<top (required)>'
E, [2016-07-16T12:40:40.268182 #14965] ERROR -- Kitchen: /usr/local/bin/kitchen:17:in `load'
E, [2016-07-16T12:40:40.268195 #14965] ERROR -- Kitchen: /usr/local/bin/kitchen:17:in `<main>'
E, [2016-07-16T12:40:40.268218 #14965] ERROR -- Kitchen: ----End Backtrace-----
